TAPER_RATIO,ASPECT_RATIO,SPAN_RATIO,CORRELATION_CONSTANT
1,8,0.396610169491525,-0.159166666666666
1,8,0.461016949152542,-0.164166666666666
1,8,0.545762711864406,-0.171666666666666
1,8,0.596610169491525,-0.174999999999999
1,8,0.664406779661016,-0.184166666666666
1,8,0.718644067796609,-0.190833333333333
1,8,0.772881355932203,-0.199166666666666
1,8,0.827118644067796,-0.207499999999999
1,8,0.857627118644067,-0.214999999999999
1,8,0.894915254237288,-0.224999999999999
0.75,3,0.0133333333333331,-0.327653631284916
0.75,3,0.0966666666666664,-0.325139664804469
0.75,3,0.186666666666666,-0.327653631284916
0.75,3,0.256666666666666,-0.327653631284916
0.75,3,0.339999999999999,-0.329329608938547
0.75,3,0.386666666666666,-0.331843575418994
0.75,3,0.456666666666666,-0.334357541899441
0.75,3,0.533333333333333,-0.338547486033519
0.75,3,0.593333333333333,-0.342737430167597
0.75,3,0.649999999999999,-0.351955307262569
0.75,3,0.699999999999999,-0.361173184357541
0.75,3,0.736666666666666,-0.377094972067039
0.75,3,0.779999999999999,-0.388826815642458
0.75,3,0.806666666666666,-0.400558659217877
0.75,4,0.00333333333333318,-0.259776536312849
0.75,4,0.103333333333333,-0.259776536312849
0.75,4,0.183333333333333,-0.259776536312849
0.75,4,0.249999999999999,-0.260614525139664
0.75,4,0.343333333333333,-0.263128491620111
0.75,4,0.399999999999999,-0.264804469273742
0.75,4,0.476666666666666,-0.268156424581005
0.75,4,0.566666666666666,-0.278212290502793
0.75,4,0.636666666666666,-0.28826815642458
0.75,4,0.703333333333333,-0.29413407821229
0.75,4,0.763333333333332,-0.303351955307262
0.75,4,0.816666666666666,-0.311731843575418
0.75,4,0.889999999999999,-0.323463687150837
0.75,6,0.01,-0.179329608938547
0.75,6,0.0799999999999998,-0.180167597765363
0.75,6,0.173333333333333,-0.179329608938547
0.75,6,0.226666666666666,-0.179329608938547
0.75,6,0.293333333333333,-0.180167597765363
0.75,6,0.356666666666666,-0.184357541899441
0.75,6,0.419999999999999,-0.186033519553072
0.75,6,0.473333333333333,-0.189385474860335
0.75,6,0.549999999999999,-0.194413407821229
0.75,6,0.606666666666666,-0.199441340782122
0.75,6,0.639999999999999,-0.204469273743016
0.75,6,0.713333333333332,-0.212849162011173
0.75,6,0.749999999999999,-0.218715083798882
0.75,6,0.796666666666666,-0.224581005586592
0.75,6,0.859999999999999,-0.234636871508379
0.75,6,0.889999999999999,-0.240502793296089
0.75,8,0.00666666666666659,-0.137430167597765
0.75,8,0.0633333333333332,-0.13826815642458
0.75,8,0.133333333333333,-0.139106145251396
0.75,8,0.193333333333333,-0.139106145251396
0.75,8,0.259999999999999,-0.139106145251396
0.75,8,0.329999999999999,-0.140782122905027
0.75,8,0.409999999999999,-0.142458100558659
0.75,8,0.473333333333333,-0.147486033519553
0.75,8,0.553333333333333,-0.152513966480446
0.75,8,0.613333333333332,-0.160055865921787
0.75,8,0.673333333333332,-0.167597765363128
0.75,8,0.729999999999999,-0.173463687150837
0.75,8,0.796666666666666,-0.183519553072625
0.75,8,0.833333333333333,-0.188547486033519
0.75,8,0.879999999999999,-0.196927374301675
0.5,3,0.00826446280991843,-0.337709497206703
0.5,3,0.100826446280992,-0.337709497206703
0.5,3,0.173553719008265,-0.337709497206703
0.5,3,0.246280991735537,-0.337709497206703
0.5,3,0.328925619834711,-0.337709497206703
