TAPER_RATIO,CORRECTED_AR,CORRECTED_SWEEP,ROLL_DAMPING_PARAMETER
0,6,-19.99230385646753,-0.2901770990084931
0,6,-16.53270266243495,-0.29504404332104195
0,6,-14.156219238301183,-0.29899316722607383
0,6,-11.780345078248715,-0.3023037823739053
0,6,-9.458977401346324,-0.30500536464834654
0,6,-7.030472532723742,-0.3069592009097628
0,6,-4.656514318509345,-0.30826190481929233
0,6,-2.282052847700335,-0.310092021639989
0,6,0.07507740331914903,-0.31114786980367526
0,6,2.465839031626281,-0.3126717019999663
0,6,4.839487034458621,-0.3136493043811043
0,6,7.2134497121461365,-0.31495668601046656
0,6,9.586552055389184,-0.31536243714202394
0,6,11.959513799228851,-0.3156208400988427
0,6,14.331960011922817,-0.3153389664149536
0,6,16.70421875874561,-0.3148606284980797
0,6,19.165711260244663,-0.3137096630354528
0,6,21.44747085776079,-0.312577819091685
